ID,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,IndelingswijzigingWijkenEnBuurten_4,AfstandTotHuisartsenpraktijk_5,Binnen1Km_6,Binnen3Km_7,Binnen5Km_8,AfstandTotHuisartsenpost_9,AfstandTotApotheek_10,AfstandTotZiekenhuis_11,Binnen5Km_12,Binnen10Km_13,Binnen20Km_14,AfstandTotZiekenhuis_15,Binnen5Km_16,Binnen10Km_17,Binnen20Km_18,AfstandTotConsultatiebureau_19,AfstandTotFysiotherapeut_20,Binnen1Km_21,Binnen3Km_22,Binnen5Km_23,AfstandTotGroteSupermarkt_24,Binnen1Km_25,Binnen3Km_26,Binnen5Km_27,AfstandTotOvDagelLevensmiddelen_28,Binnen1Km_29,Binnen3Km_30,Binnen5Km_31,AfstandTotWarenhuis_32,Binnen5Km_33,Binnen10Km_34,Binnen20Km_35,AfstandTotCafeED_36,Binnen1Km_37,Binnen3Km_38,Binnen5Km_39,AfstandTotCafetariaED_40,Binnen1Km_41,Binnen3Km_42,Binnen5Km_43,AfstandTotRestaurant_44,Binnen1Km_45,Binnen3Km_46,Binnen5Km_47,AfstandTotHotelED_48,Binnen5Km_49,Binnen10Km_50,Binnen20Km_51,AfstandTotKinderdagverblijf_52,Binnen1Km_53,Binnen3Km_54,Binnen5Km_55,AfstandTotBuitenschoolseOpvang_56,Binnen1Km_57,Binnen3Km_58,Binnen5Km_59,AfstandTotSchool_60,Binnen1Km_61,Binnen3Km_62,Binnen5Km_63,AfstandTotSchool_64,Binnen3Km_65,Binnen5Km_66,Binnen10Km_67,AfstandTotSchool_68,Binnen3Km_69,Binnen5Km_70,Binnen10Km_71,AfstandTotSchool_72,Binnen3Km_73,Binnen5Km_74,Binnen10Km_75,AfstandTotOpenbaarGroenTotaal_76,AfstandTotParkOfPlantsoen_77,AfstandTotDagrecreatiefTerrein_78,AfstandTotBos_79,AfstandTotOpenNatTerreinTotaal_80,AfstandTotOpenDroogNatTerrein_81,AfstandTotOpenNatNatuurlijkTerrein_82,AfstandTotSemiOpenbaarGroenTotaal_83,AfstandTotSportterrein_84,AfstandTotVolkstuin_85,AfstandTotVerblijfsrecreatiefTerrein_86,AfstandTotBegraafplaats_87,AfstandTotRecreatiefBinnenwater_88,AfstandTotOpritHoofdverkeersweg_89,AfstandTotTreinstationsTotaal_90,AfstandTotBelangrijkOverstapstation_91,AfstandTotBibliotheek_92,AfstandTotZwembad_93,AfstandTotKunstijsbaan_94,AfstandTotMuseum_95,Binnen5Km_96,Binnen10Km_97,Binnen20Km_98,AfstandTotPodiumkunstenTotaal_99,Binnen5Km_100,Binnen10Km_101,Binnen20Km_102,AfstandTotPoppodium_103,AfstandTotBioscoop_104,Binnen5Km_105,Binnen10Km_106,Binnen20Km_107,AfstandTotSauna_108,AfstandTotZonnebank_109,AfstandTotAttractie_110,Binnen10Km_111,Binnen20Km_112,Binnen50Km_113,AfstandTotBrandweerkazerne_114
0,Nederland,Nederland                               ,Land      ,NL00      ,.,1.1,1.2,7.7,16.8,6.9,1.3,4.9,1.1,2.9,8.6,7.3,0.6,1.6,4.2,,,,,,1.0,1.8,11.0,23.8,0.8,7.0,48.0,104.3,2.7,2.4,6.7,19.8,1.4,2.8,23.0,49.7,0.8,5.2,40.1,87.3,0.8,8.0,66.1,145.3,2.6,17.5,42.2,98.5,0.7,2.8,19.1,43.5,0.8,2.2,14.2,32.6,0.8,1.7,9.9,22.0,2.5,3.6,7.8,20.0,2.6,2.8,6.0,15.5,3.4,2.0,4.3,10.9,,,,,,,,,,,,,,1.9,5.3,10.8,2.0,3.4,19.5,4.2,3.3,8.1,21.3,4.9,2.9,6.9,16.2,10.2,6.5,1.3,2.9,7.3,8.4,4.2,5.6,3.0,8.8,41.0,2.2
1,Aa en Hunze,Aa en Hunze                             ,Gemeente  ,GM1680    ,1,2.4,0.4,0.8,1.6,11.2,2.5,10.9,0.0,0.6,3.1,11.2,0.0,0.4,1.4,,,,,,2.2,0.7,1.4,2.6,1.5,1.8,3.8,7.0,5.3,0.4,1.8,7.7,3.4,0.3,0.6,1.6,2.3,0.7,1.5,3.8,1.0,1.8,4.1,9.0,3.3,2.1,8.0,30.9,1.1,1.2,2.7,4.8,1.1,1.4,3.1,5.6,1.2,0.8,1.8,3.6,5.7,0.2,0.4,3.4,5.7,0.2,0.4,3.0,11.3,0.0,0.0,0.7,,,,,,,,,,,,,,1.5,12.4,14.4,2.7,9.8,32.2,8.0,0.1,1.0,6.3,11.4,0.0,0.4,2.6,28.8,11.8,0.0,0.3,1.8,18.9,10.8,7.5,0.9,4.5,22.3,2.7
2,Wijk 00 Annen,Aa en Hunze                             ,Wijk      ,WK168000  ,1,0.9,0.7,1.0,2.8,15.4,0.9,14.5,0.0,0.0,4.2,15.4,0.0,0.0,1.2,,,,,,0.9,1.3,2.5,4.7,0.8,2.6,5.4,10.1,5.2,0.4,2.0,11.2,4.1,0.0,0.0,2.0,4.6,0.0,0.0,4.4,0.7,2.7,4.8,12.1,2.7,3.5,9.9,30.7,0.5,1.9,4.2,6.2,0.6,1.9,4.7,7.6,0.8,0.7,2.5,4.8,7.6,0.0,0.0,1.0,7.6,0.0,0.0,1.0,13.8,0.0,0.0,0.0,,,,,,,,,,,,,,1.5,13.3,14.3,0.8,5.3,24.9,5.7,0.1,1.0,8.0,14.1,0.0,0.0,3.1,21.3,14.5,0.0,0.0,2.3,13.9,13.6,5.6,1.0,5.0,21.8,1.3
3,Annen,Aa en Hunze                             ,Buurt     ,BU16800000,1,0.8,0.7,1.0,2.9,15.3,0.8,14.6,0.0,0.0,4.2,15.3,0.0,0.0,1.2,,,,,,0.8,1.4,2.5,4.8,0.8,2.7,5.4,10.3,5.1,0.4,2.0,11.2,4.1,0.0,0.0,2.1,4.6,0.0,0.0,4.6,0.7,2.8,4.8,12.3,2.7,3.5,10.0,30.7,0.5,2.0,4.2,6.2,0.6,2.0,4.8,7.6,0.8,0.7,2.5,4.9,7.6,0.0,0.0,1.0,7.6,0.0,0.0,1.0,13.8,0.0,0.0,0.0,,,,,,,,,,,,,,1.5,13.2,14.2,0.7,5.2,24.8,5.7,0.1,1.0,8.0,14.1,0.0,0.0,3.1,21.2,14.5,0.0,0.0,2.3,13.8,13.7,5.6,1.0,5.0,21.8,1.3
4,Verspreide huizen Annen,Aa en Hunze                             ,Buurt     ,BU16800009,1,2.6,0.0,0.7,1.3,16.4,2.6,13.8,0.0,0.0,4.9,16.4,0.0,0.0,1.9,,,,,,2.1,0.1,1.9,3.0,1.9,0.2,4.1,5.9,6.4,0.0,2.0,10.1,5.4,0.0,0.0,0.3,5.3,0.0,0.0,0.8,1.6,0.2,4.2,7.1,2.8,2.6,8.5,29.6,1.8,0.0,2.5,5.9,1.8,0.1,2.8,6.9,2.0,0.0,1.2,3.5,7.1,0.0,0.1,1.0,7.1,0.0,0.1,1.0,12.9,0.0,0.0,0.0,,,,,,,,,,,,,,2.6,13.7,15.3,2.1,6.9,26.5,7.2,0.0,1.0,8.0,13.3,0.0,0.0,3.3,23.0,14.2,0.0,0.0,2.3,15.4,12.7,7.1,1.0,5.0,21.4,1.7
5,Wijk 01 Eext,Aa en Hunze                             ,Wijk      ,WK168001  ,1,3.8,0.0,0.0,2.0,14.9,3.8,14.8,0.0,0.0,4.0,14.9,0.0,0.0,2.0,,,,,,0.9,0.7,1.0,3.4,3.9,0.0,0.2,6.9,4.3,0.9,1.2,9.0,3.7,0.0,0.1,2.0,2.5,0.0,0.9,4.8,0.8,0.9,2.0,7.0,0.8,4.8,6.7,29.4,1.3,0.2,1.1,5.1,1.3,0.2,1.1,7.2,1.1,0.6,1.0,4.2,3.9,0.0,1.0,1.0,3.9,0.0,1.0,1.0,15.0,0.0,0.0,0.0,,,,,,,,,,,,,,3.9,13.8,13.8,3.8,10.4,30.0,10.7,0.0,0.1,6.3,14.9,0.0,0.0,3.9,26.4,15.1,0.0,0.0,2.9,18.4,14.2,9.7,0.7,4.2,21.8,4.2
6,Eext,Aa en Hunze                             ,Buurt     ,BU16800100,1,3.8,0.0,0.0,2.0,14.7,3.8,14.7,0.0,0.0,4.0,14.7,0.0,0.0,2.0,,,,,,0.6,0.8,1.0,3.3,4.0,0.0,0.0,6.8,4.2,1.0,1.1,9.0,3.6,0.0,0.0,2.0,2.3,0.0,0.9,5.0,0.6,1.0,2.0,6.8,0.7,5.0,6.5,29.3,1.2,0.3,1.0,5.0,1.2,0.3,1.0,7.2,0.9,0.7,1.0,4.2,3.9,0.0,1.0,1.0,3.9,0.0,1.0,1.0,15.0,0.0,0.0,0.0,,,,,,,,,,,,,,3.9,13.6,13.6,3.9,10.5,30.1,10.8,0.0,0.0,6.1,14.9,0.0,0.0,4.0,26.6,14.9,0.0,0.0,3.0,18.5,14.1,9.9,0.7,4.1,21.8,4.3
7,Verspreide huizen Eext,Aa en Hunze                             ,Buurt     ,BU16800109,1,3.6,0.0,0.4,2.1,16.4,3.6,15.5,0.0,0.0,4.0,16.4,0.0,0.0,2.0,,,,,,2.6,0.0,1.2,3.8,3.2,0.0,1.8,7.8,4.5,0.6,1.8,9.1,3.9,0.0,0.5,1.6,3.8,0.0,0.8,3.5,2.2,0.0,2.2,8.1,1.5,3.4,8.0,29.8,2.0,0.0,1.6,5.7,2.0,0.0,2.2,7.7,2.1,0.1,1.3,3.6,4.2,0.2,0.8,1.0,4.2,0.2,0.8,1.0,14.7,0.0,0.0,0.0,,,,,,,,,,,,,,3.6,15.4,15.6,3.3,9.4,29.0,9.6,0.0,0.7,7.0,15.1,0.0,0.0,3.7,25.4,16.3,0.0,0.0,2.8,17.5,14.4,8.9,1.0,5.1,21.8,3.1
8,Wijk 02 Anloo,Aa en Hunze                             ,Wijk      ,WK168002  ,1,2.2,0.0,1.0,1.0,12.9,2.2,12.3,0.0,0.0,4.0,12.9,0.0,0.0,1.0,,,,,,2.7,0.0,1.8,2.1,0.6,1.0,4.7,5.1,7.3,0.0,2.0,10.0,6.4,0.0,0.0,0.0,3.0,0.0,0.6,1.0,0.5,1.0,4.7,6.0,0.5,2.0,10.8,31.9,2.5,0.0,2.0,4.1,0.5,1.0,3.1,5.1,0.5,1.0,2.0,2.4,8.4,0.0,0.0,1.0,8.4,0.0,0.0,1.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.0,11.8,11.8,2.4,7.3,26.6,8.0,0.0,1.0,9.0,12.9,0.0,0.0,3.0,23.0,12.9,0.0,0.0,2.0,12.6,12.2,7.9,1.0,5.0,23.7,2.6
9,Anloo,Aa en Hunze                             ,Buurt     ,BU16800200,1,2.2,0.0,1.0,1.0,12.9,2.2,12.3,0.0,0.0,4.0,12.9,0.0,0.0,1.0,,,,,,2.7,0.0,1.9,2.1,0.5,1.0,4.8,5.1,7.3,0.0,2.0,10.0,6.4,0.0,0.0,0.0,2.9,0.0,0.7,1.0,0.5,1.0,4.7,6.0,0.4,2.0,10.9,32.0,2.5,0.0,2.1,4.1,0.5,1.0,3.1,5.1,0.5,1.0,2.0,2.4,8.4,0.0,0.0,1.0,8.4,0.0,0.0,1.0,11.9,0.0,0.0,0.0,,,,,,,,,,,,,,1.0,11.8,11.8,2.4,7.3,26.5,8.1,0.0,1.0,9.0,12.8,0.0,0.0,3.0,23.0,12.8,0.0,0.0,2.0,12.5,12.1,7.9,1.0,5.0,23.9,2.6
